bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
104535,1650000.0,148200.0,99.0,4,Hollænderdybet,20,12.59707725,55.66447327,1917.0,93.0,2022,3,2.0,5150000,4797026.063168328
139263,1100000.0,174500.0,72.0,3,Hyacintgården,13,12.61206358,55.6489426,1968.0,69.0,2022,3,2.0,2807500,3065386.709951833
132466,780000.0,120300.0,50.0,2,Jansvej,3,12.61712492,55.64681645,1938.0,48.0,2022,3,1.0,1795000,1954376.303751577
140069,2100000.0,488400.0,106.0,3,RichardMortensensVej,73,12.57140911,55.61744812,2010.0,94.0,2022,3,8.0,4290000,4616890.633752944
132538,780000.0,118700.0,50.0,2,Jansvej,2,12.61662735,55.6469108,1939.0,48.0,2022,3,1.0,1925000,1961996.2127396148
125498,1600000.0,230800.0,93.0,4,Amagerbrogade,263,12.6155371,55.64431219,1938.0,88.0,2022,3,3.0,3395000,3487192.984122568
134845,1200000.0,125400.0,74.0,3,Frankrigshusene,11,12.60732975,55.6625094,1940.0,69.0,2022,3,1.0,3155000,3443578.58064039
134981,890000.0,69900.0,53.0,2,Holmbladsgade,105,12.61584705,55.66712726,1914.0,45.0,2022,3,1.0,2795000,2377298.1466848296
137927,710000.0,80600.0,44.0,2,Sofienhøjvej,1,12.61364441,55.64538347,1975.0,36.0,2022,3,4.0,1900000,1897590.154615667
421342,2300000.0,286700.0,101.0,3,Strandlodsvej,23,12.62523023,55.66516955,2021.0,92.0,2022,3,3.0,5695000,4997699.112103832
133593,960000.0,257000.0,57.0,2,Engvej,172,12.63428773,55.64634514,1963.0,52.0,2022,3,2.0,2600000,2318969.4441313106
140082,1950000.0,410500.0,91.0,2,RichardMortensensVej,75,12.57123192,55.61732731,2010.0,79.0,2022,3,6.0,3750000,3743362.138056466
407946,2450000.0,279000.0,96.0,2,Rundholtsvej,56,12.56480672,55.65398841,2014.0,85.0,2022,3,3.0,5430000,4988836.025624402
136330,960000.0,272700.0,69.0,2,Kongelundsvej,61,12.58961747,55.63833863,1969.0,65.0,2022,3,1.0,2295000,2523471.234012548
136701,680000.0,182800.0,47.0,1,Kongelundsvej,71,12.59020968,55.63747614,1968.0,44.0,2022,3,1.0,1700000,1737470.504159775
