,bfe_nummer,adresse,offentlig_ejendomsværdi,offentlige_grundværdi,seneste_handelspris,enhedsareal_beboelse,pris_pr_m2,seneste_handelsdato,seneste_handlet_andel,handelsmetode,anvendelse,opførelsesår,tinglyst_areal_ejerlejligheder,longitude,latitude,primær_ejers_adresse,vejnavn,husnr,etage,antal_værelser,year,month,day
174,141057,"RobertJacobsensVej89,4.tv,2300KøbenhavnS",2150000.0,449000.0,6325000,106.0,59669.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2009.0,92.0,12.57292508,55.61666677,"Byvej34,3320Skævinge",RobertJacobsensVej,89,5.0,3,2022,3,1
175,407509,"Rundholtsvej26,1.3,2300KøbenhavnS",3900000.0,437600.0,8775000,149.0,58892.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,138.0,12.56544284,55.65346915,"Rundholtsvej26,1,-3,2300KøbenhavnS",Rundholtsvej,26,2.0,4,2022,3,1
176,134924,"Holmbladsgade70D,2.th,2300KøbenhavnS",2300000.0,288100.0,7625000,130.0,58653.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1917.0,130.0,12.61145229,55.66578806,"Holmbladsgade70D,2th,2300KøbenhavnS",Holmbladsgade,70,3.0,4,2022,3,1
177,418163,"AmagerStrandvej162C,7.tv,2300KøbenhavnS",3650000.0,519700.0,11500000,155.0,74193.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2014.0,136.0,12.63397703,55.65850699,"AmagerStrandvej162C,7tv,2300KøbenhavnS",AmagerStrandvej,162,8.0,5,2022,3,1
178,120650,"TomKristensensVej44,1.tv,2300KøbenhavnS",1850000.0,414600.0,4615000,95.0,48578.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,87.0,12.58508453,55.6614912,"TomKristensensVej44,1tv,2300KøbenhavnS",TomKristensensVej,44,2.0,3,2022,3,1
179,130703,"Kastrupvej86,4.tv,2300KøbenhavnS",940000.0,116200.0,2425000,53.0,45754.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,48.0,12.61929914,55.65319358,"Kastrupvej86,4tv,2300KøbenhavnS",Kastrupvej,86,5.0,2,2022,3,1
180,130235,"Siciliensgade7,2.th,2300KøbenhavnS",900000.0,107100.0,2375000,52.0,45673.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1936.0,48.0,12.61839444,55.65312516,"Siciliensgade7,2th,2300KøbenhavnS",Siciliensgade,7,3.0,2,2022,3,1
181,121023,"TomKristensensVej40,3.th,2300KøbenhavnS",1750000.0,390700.0,4750000,90.0,52777.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2006.0,82.0,12.58547066,55.66147469,"TomKristensensVej40,3th,2300KøbenhavnS",TomKristensensVej,40,4.0,3,2022,3,1
182,122870,"TychoBrahesAllé1,2.th,2300KøbenhavnS",1000000.0,57200.0,2100000,54.0,38888.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",1902.0,45.0,12.6104344,55.6552784,"TychoBrahesAllé1,2th,2300KøbenhavnS",TychoBrahesAllé,1,3.0,2,2022,3,1
183,415283,"Strandlodsvej25B,3.th,2300KøbenhavnS",2550000.0,390800.0,6900000,113.0,61061.0,2022-03-01,100%,Almindeligfrihandel,"Etagebolig-bygning,flerfamiliehusellerto-familiehus",2016.0,103.0,12.62507732,55.66576223,"Strandlodsvej25B,3tv,2300KøbenhavnS",Strandlodsvej,25,4.0,4,2022,3,1
